t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3
0.345,6.44824,6.87128,-0.633115,0.593101,6.7335,13.5263,0.193716,0.559367,13.0573,6.62929,-0.800065,-0.108319,13.2186,13.3052,-0.332599,-0.0815169
0.35,6.44507,6.87425,-0.633114,0.593101,6.73446,13.5291,0.193717,0.559366,13.0533,6.62875,-0.800066,-0.108319,13.2169,13.3048,-0.3326,-0.0815171
0.355,6.44191,6.87721,-0.633114,0.593101,6.73543,13.5319,0.193717,0.559366,13.0493,6.62821,-0.800066,-0.108319,13.2153,13.3044,-0.3326,-0.0815173
0.36,6.43874,6.88018,-0.633114,0.593101,6.7364,13.5347,0.193717,0.559366,13.0453,6.62767,-0.800066,-0.108319,13.2136,13.304,-0.3326,-0.0815175
0.365,6.43558,6.88315,-0.633114,0.593102,6.73737,13.5375,0.193717,0.559366,13.0413,6.62713,-0.800066,-0.108318,13.2119,13.3036,-0.332601,-0.0815178
0.37,6.43241,6.88611,-0.633113,0.593102,6.73834,13.5403,0.193718,0.559365,13.0373,6.62659,-0.800067,-0.108318,13.2103,13.3032,-0.332601,-0.081518
0.375,6.42925,6.88908,-0.633113,0.593102,6.73931,13.5431,0.193718,0.559365,13.0333,6.62604,-0.800067,-0.108318,13.2086,13.3028,-0.332601,-0.0815182
0.38,6.42608,6.89204,-0.633113,0.593102,6.74028,13.5459,0.193718,0.559365,13.0293,6.6255,-0.800067,-0.108318,13.2069,13.3024,-0.332601,-0.0815184
0.385,6.42291,6.89501,-0.633113,0.593102,6.74124,13.5487,0.193719,0.559365,13.0253,6.62496,-0.800067,-0.108317,13.2053,13.302,-0.332602,-0.0815186
0.39,6.41975,6.89797,-0.633112,0.593103,6.74221,13.5515,0.193719,0.559365,13.0213,6.62442,-0.800067,-0.108317,13.2036,13.3015,-0.332602,-0.0815188
0.395,6.41658,6.90094,-0.633112,0.593103,6.74318,13.5543,0.193719,0.559364,13.0173,6.62388,-0.800068,-0.108317,13.202,13.3011,-0.332602,-0.081519
0.4,6.41342,6.9039,-0.633112,0.593103,6.74415,13.5571,0.193719,0.559364,13.0133,6.62334,-0.800068,-0.108317,13.2003,13.3007,-0.332602,-0.0815192
0.405,6.41025,6.90687,-0.633112,0.593103,6.74512,13.5599,0.19372,0.559364,13.0093,6.62279,-0.800068,-0.108317,13.1986,13.3003,-0.332603,-0.0815194
0.41,6.40709,6.90984,-0.633111,0.593104,6.74609,13.5627,0.19372,0.559364,13.0053,6.62225,-0.800068,-0.108316,13.197,13.2999,-0.332603,-0.0815196
0.415,6.40392,6.9128,-0.633111,0.593104,6.74706,13.5655,0.19372,0.559363,13.0013,6.62171,-0.800069,-0.108316,13.1953,13.2995,-0.332603,-0.0815198
0.42,6.40076,6.91577,-0.633111,0.593104,6.74802,13.5683,0.19372,0.559363,12.9973,6.62117,-0.800069,-0.108316,13.1936,13.2991,-0.332604,-0.08152
0.425,6.39759,6.91873,-0.633111,0.593104,6.74899,13.5711,0.193721,0.559363,12.9933,6.62063,-0.800069,-0.108316,13.192,13.2987,-0.332604,-0.0815202
0.43,6.39442,6.9217,-0.633111,0.593104,6.74996,13.5739,0.193721,0.559363,12.9893,6.62009,-0.800069,-0.108315,13.1903,13.2983,-0.332604,-0.0815204
0.435,6.39126,6.92466,-0.63311,0.593105,6.75093,13.5767,0.193721,0.559362,12.9853,6.61955,-0.800069,-0.108315,13.1887,13.2979,-0.332604,-0.0815206
0.44,6.38809,6.92763,-0.63311,0.593105,6.7519,13.5795,0.193721,0.559362,12.9813,6.619,-0.80007,-0.108315,13.187,13.2975,-0.332605,-0.0815208
0.445,6.38493,6.93059,-0.63311,0.593105,6.75287,13.5823,0.193722,0.559362,12.9773,6.61846,-0.80007,-0.108315,13.1853,13.2971,-0.332605,-0.081521
0.45,6.38176,6.93356,-0.63311,0.593105,6.75384,13.5851,0.193722,0.559362,12.9733,6.61792,-0.80007,-0.108314,13.1837,13.2967,-0.332605,-0.0815212
0.455,6.3786,6.93653,-0.633109,0.593105,6.75481,13.5878,0.193722,0.559362,12.9693,6.61738,-0.80007,-0.108314,13.182,13.2962,-0.332605,-0.0815214
0.46,6.37543,6.93949,-0.633109,0.593106,6.75577,13.5906,0.193722,0.559361,12.9653,6.61684,-0.800071,-0.108314,13.1803,13.2958,-0.332606,-0.0815216
0.465,6.37227,6.94246,-0.633109,0.593106,6.75674,13.5934,0.193723,0.559361,12.9613,6.6163,-0.800071,-0.108314,13.1787,13.2954,-0.332606,-0.0815218
0.47,6.3691,6.94542,-0.633109,0.593106,6.75771,13.5962,0.193723,0.559361,12.9573,6.61575,-0.800071,-0.108314,13.177,13.295,-0.332606,-0.081522
0.475,6.36593,6.94839,-0.633108,0.593106,6.75868,13.599,0.193723,0.559361,12.9533,6.61521,-0.800071,-0.108313,13.1754,13.2946,-0.332607,-0.0815223
0.48,6.36277,6.95135,-0.633108,0.593106,6.75965,13.6018,0.193723,0.55936,12.9493,6.61467,-0.800072,-0.108313,13.1737,13.2942,-0.332607,-0.0815225
0.485,6.3596,6.95432,-0.633108,0.593107,6.76062,13.6046,0.193724,0.55936,12.9453,6.61413,-0.800072,-0.108313,13.172,13.2938,-0.332607,-0.0815227
0.49,6.35644,6.95728,-0.633108,0.593107,6.76159,13.6074,0.193724,0.55936,12.9413,6.61359,-0.800072,-0.108313,13.1704,13.2934,-0.332608,-0.0815229
0.495,6.35327,6.96025,-0.633107,0.593107,6.76255,13.6102,0.193724,0.55936,12.9373,6.61305,-0.800072,-0.108312,13.1687,13.293,-0.332608,-0.0815231
0.5,6.35011,6.96322,-0.633107,0.593107,6.76352,13.613,0.193725,0.559359,12.9333,6.6125,-0.800072,-0.108312,13.167,13.2926,-0.332608,-0.0815233
0.505,6.34694,6.96618,-0.633107,0.593108,6.76449,13.6158,0.193725,0.559359,12.9293,6.61196,-0.800073,-0.108312,13.1654,13.2922,-0.332608,-0.0815235
0.51,6.34378,6.96915,-0.633107,0.593108,6.76546,13.6186,0.193725,0.559359,12.9253,6.61142,-0.800073,-0.108312,13.1637,13.2918,-0.332609,-0.0815237
0.515,6.34061,6.97211,-0.633106,0.593108,6.76643,13.6214,0.193725,0.559359,12.9213,6.61088,-0.800073,-0.108312,13.162,13.2914,-0.332609,-0.0815239
0.52,6.33745,6.97508,-0.633106,0.593108,6.7674,13.6242,0.193726,0.559358,12.9173,6.61034,-0.800073,-0.108311,13.1604,13.2909,-0.332609,-0.0815241
0.525,6.33428,6.97804,-0.633106,0.593108,6.76837,13.627,0.193726,0.559358,12.9133,6.6098,-0.800074,-0.108311,13.1587,13.2905,-0.33261,-0.0815243
0.53,6.33111,6.98101,-0.633106,0.593109,6.76933,13.6298,0.193726,0.559358,12.9093,6.60926,-0.800074,-0.108311,13.1571,13.2901,-0.33261,-0.0815245
0.535,6.32795,6.98397,-0.633105,0.593109,6.7703,13.6326,0.193726,0.559358,12.9053,6.60871,-0.800074,-0.108311,13.1554,13.2897,-0.33261,-0.0815247
0.54,6.32478,6.98694,-0.633105,0.593109,6.77127,13.6354,0.193727,0.559358,12.9013,6.60817,-0.800074,-0.10831,13.1537,13.2893,-0.33261,-0.0815249
0.545,6.32162,6.9899,-0.633105,0.593109,6.77224,13.6382,0.193727,0.559357,12.8973,6.60763,-0.800074,-0.10831,13.1521,13.2889,-0.332611,-0.0815251
0.55,6.31845,6.99287,-0.633105,0.593109,6.77321,13.641,0.193727,0.559357,12.8933,6.60709,-0.800075,-0.10831,13.1504,13.2885,-0.332611,-0.0815253
0.555,6.31529,6.99584,-0.633104,0.59311,6.77418,13.6438,0.193728,0.559357,12.8893,6.60655,-0.800075,-0.10831,13.1487,13.2881,-0.332611,-0.0815255
0.56,6.31212,6.9988,-0.633104,0.59311,6.77515,13.6466,0.193728,0.559357,12.8853,6.60601,-0.800075,-0.108309,13.1471,13.2877,-0.332612,-0.0815257
0.565,6.30896,7.00177,-0.633104,0.59311,6.77611,13.6494,0.193728,0.559356,12.8813,6.60546,-0.800075,-0.108309,13.1454,13.2873,-0.332612,-0.0815259
0.57,6.30579,7.00473,-0.633104,0.59311,6.77708,13.6522,0.193728,0.559356,12.8773,6.60492,-0.800076,-0.108309,13.1438,13.2869,-0.332612,-0.0815261
0.575,6.30262,7.0077,-0.633103,0.59311,6.77805,13.655,0.193729,0.559356,12.8733,6.60438,-0.800076,-0.108309,13.1421,13.2865,-0.332613,-0.0815263
0.58,6.29946,7.01066,-0.633103,0.593111,6.77902,13.6578,0.193729,0.559356,12.8693,6.60384,-0.800076,-0.108309,13.1404,13.2861,-0.332613,-0.0815265
0.585,6.29629,7.01363,-0.633103,0.593111,6.77999,13.6606,0.193729,0.559355,12.8653,6.6033,-0.800076,-0.108308,13.1388,13.2856,-0.332613,-0.0815266
0.59,6.29313,7.01659,-0.633103,0.593111,6.78096,13.6634,0.193729,0.559355,12.8613,6.60276,-0.800077,-0.108308,13.1371,13.2852,-0.332613,-0.0815268
0.595,6.28996,7.01956,-0.633102,0.593111,6.78193,13.6662,0.19373,0.559355,12.8573,6.60222,-0.800077,-0.108308,13.1354,13.2848,-0.332614,-0.081527
0.6,6.2868,7.02253,-0.633102,0.593111,6.7829,13.669,0.19373,0.559355,12.8533,6.60167,-0.800077,-0.108308,13.1338,13.2844,-0.332614,-0.0815272
0.605,6.28363,7.02549,-0.633102,0.593112,6.78386,13.6718,0.19373,0.559354,12.8493,6.60113,-0.800077,-0.108307,13.1321,13.284,-0.332614,-0.0815274
0.61,6.28047,7.02846,-0.633102,0.593112,6.78483,13.6745,0.193731,0.559354,12.8453,6.60059,-0.800077,-0.108307,13.1304,13.2836,-0.332615,-0.0815276
0.615,6.2773,7.03142,-0.633101,0.593112,6.7858,13.6773,0.193731,0.559354,12.8413,6.60005,-0.800078,-0.108307,13.1288,13.2832,-0.332615,-0.0815278
0.62,6.27413,7.03439,-0.633101,0.593112,6.78677,13.6801,0.193731,0.559354,12.8373,6.59951,-0.800078,-0.108307,13.1271,13.2828,-0.332615,-0.081528
0.625,6.27097,7.03735,-0.633101,0.593112,6.78774,13.6829,0.193731,0.559354,12.8333,6.59897,-0.800078,-0.108306,13.1255,13.2824,-0.332616,-0.0815282
0.63,6.2678,7.04032,-0.633101,0.593113,6.78871,13.6857,0.193732,0.559353,12.8293,6.59842,-0.800078,-0.108306,13.1238,13.282,-0.332616,-0.0815284
0.635,6.26464,7.04328,-0.6331,0.593113,6.78968,13.6885,0.193732,0.559353,12.8253,6.59788,-0.800079,-0.108306,13.1221,13.2816,-0.332616,-0.0815286
0.64,6.26147,7.04625,-0.6331,0.593113,6.79064,13.6913,0.193732,0.559353,12.8213,6.59734,-0.800079,-0.108306,13.1205,13.2812,-0.332617,-0.0815288
0.645,6.25831,7.04922,-0.6331,0.593113,6.79161,13.6941,0.193733,0.559353,12.8173,6.5968,-0.800079,-0.108306,13.1188,13.2808,-0.332617,-0.081529
0.65,6.25514,7.05218,-0.633099,0.593113,6.79258,13.6969,0.193733,0.559352,12.8133,6.59626,-0.800079,-0.108305,13.1171,13.2803,-0.332617,-0.0815292
0.655,6.25198,7.05515,-0.633099,0.593114,6.79355,13.6997,0.193733,0.559352,12.8093,6.59572,-0.80008,-0.108305,13.1155,13.2799,-0.332617,-0.0815294
0.66,6.24881,7.05811,-0.633099,0.593114,6.79452,13.7025,0.193733,0.559352,12.8053,6.59518,-0.80008,-0.108305,13.1138,13.2795,-0.332618,-0.0815296
0.665,6.24565,7.06108,-0.633099,0.593114,6.79549,13.7053,0.193734,0.559352,12.8013,6.59463,-0.80008,-0.108305,13.1122,13.2791,-0.332618,-0.0815298
0.67,6.24248,7.06404,-0.633098,0.593114,6.79646,13.7081,0.193734,0.559351,12.7973,6.59409,-0.80008,-0.108304,13.1105,13.2787,-0.332618,-0.08153
0.675,6.23931,7.06701,-0.633098,0.593114,6.79743,13.7109,0.193734,0.559351,12.7933,6.59355,-0.80008,-0.108304,13.1088,13.2783,-0.332619,-0.0815302
0.68,6.23615,7.06998,-0.633098,0.593115,6.79839,13.7137,0.193735,0.559351,12.7893,6.59301,-0.800081,-0.108304,13.1072,13.2779,-0.332619,-0.0815304
0.685,6.23298,7.07294,-0.633098,0.593115,6.79936,13.7165,0.193735,0.559351,12.7853,6.59247,-0.800081,-0.108304,13.1055,13.2775,-0.332619,-0.0815305
0.69,6.22982,7.07591,-0.633097,0.593115,6.80033,13.7193,0.193735,0.55935,12.7813,6.59193,-0.800081,-0.108303,13.1038,13.2771,-0.33262,-0.0815307
0.695,6.22665,7.07887,-0.633097,0.593115,6.8013,13.7221,0.193736,0.55935,12.7773,6.59138,-0.800081,-0.108303,13.1022,13.2767,-0.33262,-0.0815309
0.7,6.22349,7.08184,-0.633097,0.593115,6.80227,13.7249,0.193736,0.55935,12.7733,6.59084,-0.800082,-0.108303,13.1005,13.2763,-0.33262,-0.0815311
0.705,6.22032,7.0848,-0.633097,0.593116,6.80324,13.7277,0.193736,0.55935,12.7693,6.5903,-0.800082,-0.108303,13.0988,13.2759,-0.332621,-0.0815313
0.71,6.21716,7.08777,-0.633096,0.593116,6.80421,13.7305,0.193736,0.559349,12.7653,6.58976,-0.800082,-0.108303,13.0972,13.2755,-0.332621,-0.0815315
0.715,6.21399,7.09073,-0.633096,0.593116,6.80517,13.7333,0.193737,0.559349,12.7613,6.58922,-0.800082,-0.108302,13.0955,13.275,-0.332621,-0.0815317
0.72,6.21082,7.0937,-0.633096,0.593116,6.80614,13.7361,0.193737,0.559349,12.7573,6.58868,-0.800083,-0.108302,13.0939,13.2746,-0.332622,-0.0815319
0.725,6.20766,7.09667,-0.633096,0.593116,6.80711,13.7389,0.193737,0.559349,12.7533,6.58814,-0.800083,-0.108302,13.0922,13.2742,-0.332622,-0.0815321
0.73,6.20449,7.09963,-0.633095,0.593117,6.80808,13.7417,0.193738,0.559349,12.7493,6.58759,-0.800083,-0.108302,13.0905,13.2738,-0.332622,-0.0815323
0.735,6.20133,7.1026,-0.633095,0.593117,6.80905,13.7445,0.193738,0.559348,12.7453,6.58705,-0.800083,-0.108301,13.0889,13.2734,-0.332623,-0.0815325
0.74,6.19816,7.10556,-0.633095,0.593117,6.81002,13.7473,0.193738,0.559348,12.7413,6.58651,-0.800083,-0.108301,13.0872,13.273,-0.332623,-0.0815326
0.745,6.195,7.10853,-0.633095,0.593117,6.81099,13.7501,0.193738,0.559348,12.7373,6.58597,-0.800084,-0.108301,13.0855,13.2726,-0.332623,-0.0815328
0.75,6.19183,7.11149,-0.633094,0.593117,6.81196,13.7529,0.193739,0.559348,12.7333,6.58543,-0.800084,-0.108301,13.0839,13.2722,-0.332624,-0.081533
0.755,6.18867,7.11446,-0.633094,0.593118,6.81292,13.7557,0.193739,0.559347,12.7293,6.58489,-0.800084,-0.1083,13.0822,13.2718,-0.332624,-0.0815332
0.76,6.1855,7.11742,-0.633094,0.593118,6.81389,13.7585,0.193739,0.559347,12.7253,6.58435,-0.800084,-0.1083,13.0806,13.2714,-0.332624,-0.0815334
0.765,6.18234,7.12039,-0.633093,0.593118,6.81486,13.7612,0.19374,0.559347,12.7213,6.5838,-0.800085,-0.1083,13.0789,13.271,-0.332625,-0.0815336
